,0
0,B15-15
1,B15-14
2,B15-13
3,B15-12
4,B15-19
5,B15-18
6,B15-17
7,B15-16
8,B15-11
9,B15-10
10,B03-20
11,B15-04
12,B15-03
13,B15-02
14,B15-01
15,B15-08
16,B15-07
17,B15-06
18,B15-05
19,B04-09
20,B04-05
21,B04-06
22,B04-07
23,B04-08
24,B04-01
25,B04-02
26,B04-03
27,B04-04
28,B15-09
29,B03-08
30,B14-20
31,B03-09
32,B03-04
33,B03-05
34,B03-06
35,B03-07
36,B03-01
37,B03-02
38,B03-03
39,B14-13
40,B14-14
41,B14-11
42,B14-12
43,B14-17
44,B14-18
45,B14-15
46,B14-16
47,B03-19
48,B14-10
49,B03-15
50,B03-16
51,B03-17
52,B03-18
53,B03-11
54,B03-12
55,B03-13
56,B03-14
57,B14-19
58,B03-10
59,B16-20
60,B05-07
61,B05-06
62,B05-09
63,B05-08
64,B05-03
65,B05-02
66,B05-05
67,B05-04
68,B05-01
69,B16-16
70,B16-15
71,B16-14
72,B16-13
73,B16-19
74,B16-18
75,B16-17
76,B16-12
77,B16-11
78,B16-10
79,B05-18
80,B05-17
81,B05-19
82,B05-14
83,B05-13
84,B05-16
85,B05-15
86,B05-10
87,B05-12
88,B05-11
89,B16-05
90,B16-04
91,B16-03
92,B16-02
93,B16-09
94,B16-08
95,B16-07
96,B16-06
97,B16-01
98,B04-16
99,B04-17
100,B04-18
101,B04-19
102,B04-12
103,B04-13
104,B04-14
105,B04-15
106,B04-10
107,B04-11
108,B15-20
109,B04-20
110,B12-20
111,B01-09
112,B01-08
113,B01-07
114,B01-06
115,B01-01
116,B01-05
117,B01-04
118,B01-03
119,B01-02
120,B12-10
121,B12-12
122,B12-11
123,B12-14
124,B12-13
125,B12-16
126,B12-15
127,B01-19
128,B01-18
129,B01-17
130,B01-12
131,B01-11
132,B01-10
133,B01-16
134,B01-15
135,B01-14
136,B01-13
137,B12-18
138,B12-17
139,B12-19
140,B12-01
141,B12-03
142,B12-02
143,B12-05
144,B12-04
145,B12-07
146,B12-06
147,B12-09
148,B12-08
149,B11-20
150,B14-02
151,B14-03
152,B14-01
153,B14-06
154,B14-07
155,B14-04
156,B14-05
157,B02-19
158,B02-18
159,B02-13
160,B02-12
161,B02-11
162,B02-10
163,B02-17
164,B02-16
165,B02-15
166,B02-14
167,B14-08
168,B14-09
169,B13-20
170,B02-20
171,B13-12
172,B13-13
173,B13-10
174,B13-11
175,B13-16
176,B13-17
177,B13-14
178,B13-15
179,B01-20
180,B13-18
181,B13-19
182,B13-01
183,B13-02
184,B13-05
185,B13-06
186,B13-03
187,B13-04
188,B02-09
189,B02-08
190,B02-07
191,B02-02
192,B02-01
193,B02-06
194,B02-05
195,B02-04
196,B02-03
197,B13-09
198,B13-07
199,B13-08
200,B10-01
201,B10-02
202,B10-03
203,B09-08
204,B09-09
205,B09-06
206,B09-07
207,B09-04
208,B10-04
209,B09-05
210,B10-05
211,B09-02
212,B10-06
213,B09-03
214,B10-07
215,B10-08
216,B09-01
217,B10-09
218,B09-19
219,B09-17
220,B09-18
221,B09-15
222,B09-16
223,B09-13
224,B09-14
225,B09-11
226,B09-12
227,B09-10
228,B08-18
229,B08-19
230,B08-16
231,B08-17
232,B08-14
233,B08-15
234,B08-12
235,B08-13
236,B08-10
237,B08-11
238,B20-20
239,B20-18
240,B20-19
241,B20-16
242,B20-17
243,B20-14
244,B20-15
245,B19-20
246,B20-12
247,B20-13
248,B20-10
249,B20-11
250,B08-20
251,B11-11
252,B11-10
253,B11-13
254,B11-12
255,B11-15
256,B11-14
257,B11-01-20
258,B11-01-14
259,B11-01-15
260,B11-01-16
261,B11-01-17
262,B11-01-10
263,B11-01-11
264,B11-01-12
265,B11-01-13
266,B11-17
267,B11-16
268,B11-19
269,B11-18
270,B11-01-18
271,B11-01-19
272,B11-02
273,B11-01
274,B11-04
275,B11-03
276,B11-06
277,B11-05
278,B11-08
279,B11-07
280,B11-09
281,B10-20
282,B09-20
283,B10-10
284,B10-11
285,B10-12
286,B10-13
287,B10-14
288,B11-01-03
289,B11-01-04
290,B11-01-05
291,B11-01-06
292,B11-01-01
293,B11-01-02
294,B10-15
295,B10-16
296,B10-17
297,B10-18
298,B10-19
299,B11-01-07
300,B11-01-08
301,B11-01-09
302,B18-08
303,B18-09
304,B18-04
305,B18-05
306,B18-06
307,B18-07
308,B18-01
309,B18-02
310,B18-03
311,B06-19
312,B06-18
313,B06-15
314,B06-14
315,B06-17
316,B06-16
317,B06-11
318,B06-10
319,B06-13
320,B06-12
321,B17-20
322,B06-20
323,B17-18
324,B17-19
325,B17-14
326,B17-15
327,B17-16
328,B17-17
329,B17-10
330,B17-11
331,B17-12
332,B17-13
333,B05-20
334,B17-07
335,B17-08
336,B17-09
337,B17-03
338,B17-04
339,B17-05
340,B17-06
341,B17-01
342,B17-02
343,B06-08
344,B06-07
345,B06-09
346,B06-04
347,B06-03
348,B06-06
349,B06-05
350,B06-02
351,B06-01
352,B20-09
353,B20-07
354,B20-08
355,B19-16
356,B20-05
357,B19-17
358,B20-06
359,B19-18
360,B20-03
361,B19-19
362,B20-04
363,B19-12
364,B19-13
365,B19-14
366,B19-15
367,B19-10
368,B19-11
369,B20-01
370,B20-02
371,B07-20
372,B19-09
373,B19-05
374,B19-06
375,B19-07
376,B19-08
377,B19-01
378,B19-02
379,B19-03
380,B19-04
381,B08-09
382,B08-07
383,B08-08
384,B08-05
385,B08-06
386,B08-03
387,B08-04
388,B08-01
389,B08-02
390,B18-20
391,B07-09
392,B07-08
393,B07-05
394,B07-04
395,B07-07
396,B07-06
397,B07-01
398,B07-03
399,B07-02
400,B18-19
401,B18-15
402,B18-16
403,B18-17
404,B18-18
405,B18-11
406,B18-12
407,B18-13
408,B18-14
409,B18-10
410,B07-19
411,B07-16
412,B07-15
413,B07-18
414,B07-17
415,B07-12
416,B07-11
417,B07-14
418,B07-13
419,B07-10
